packet,altitude,pressure,temperature,descent_rate,battery,voltage,roll,pitch,yaw,lat,lon,sats,fix
11,0.00,1013.25,14.80,0.00,4.22,4.13,-2.20,5.80,72.60,28.630720,77.084542,10,FIX 3D
11,0.00,1013.25,14.80,0.00,4.22,4.13,-2.20,5.80,72.60,28.630720,77.084542,10,FIX 3D
12,0.00,1013.25,15.30,0.00,4.22,4.13,-2.70,3.70,87.70,28.630740,77.084591,8,FIX 3D
12,0.00,1013.25,15.30,0.00,4.22,4.13,-2.70,3.70,87.70,28.630740,77.084591,8,FIX 3D
13,0.00,1013.25,15.00,0.00,4.21,4.13,-8.00,0.70,102.80,28.630831,77.084620,8,FIX 3D
13,0.00,1013.25,15.00,0.00,4.21,4.13,-8.00,0.70,102.80,28.630831,77.084620,8,FIX 3D
14,600.0,943.23,11.1,0.00,4.19,4.11,5.3,9.1,15.0,28.635770,77.074430,0,NO FIX
14,0.00,1013.25,14.90,0.00,4.21,4.12,-9.90,-2.30,117.90,28.630829,77.084554,12,FIX 3D
14,0.00,1013.25,14.90,0.00,4.21,4.12,-9.90,-2.30,117.90,28.630829,77.084554,12,FIX 3D
15,600.0,943.23,10.9,0.00,4.19,4.11,9.9,7.8,30.1,28.635702,77.074334,0,NO FIX
15,0.00,1013.25,15.00,0.00,4.20,4.12,-10.10,-3.90,133.00,28.630848,77.084649,10,FIX 3D
15,0.00,1013.25,15.00,0.00,4.20,4.12,-10.10,-3.90,133.00,28.630848,77.084649,10,FIX 3D
16,600.0,943.23,11.2,0.00,4.20,4.11,10.6,6.6,45.1,28.635689,77.074347,0,NO FIX
16,0.00,1013.25,14.80,0.00,4.20,4.11,-7.70,-5.20,148.10,28.630853,77.084584,8,FIX 3D
16,0.00,1013.25,14.80,0.00,4.20,4.11,-7.70,-5.20,148.10,28.630853,77.084584,8,FIX 3D
17,600.0,943.23,10.9,0.00,4.20,4.12,10.1,3.0,60.1,28.635673,77.074392,0,NO FIX
17,0.00,1013.25,15.30,0.00,4.19,4.11,-6.90,-6.90,163.20,28.630837,77.084600,8,FIX 3D
17,0.00,1013.25,15.30,0.00,4.19,4.11,-6.90,-6.90,163.20,28.630837,77.084600,8,FIX 3D
18,610.9,942.00,10.8,-8.76,4.21,4.12,11.5,1.8,75.1,28.635666,77.074448,11,FIX 3D
