packet,altitude,pressure,temperature,vertical_speed,battery,voltage,roll,pitch,yaw,lat,lon,sats,fix
1,0.00,1013.25,14.90,8.79,4.23,4.15,7.90,8.00,173.70,28.621787,77.092417,8,FIX 3D
1,0.00,1013.25,14.90,8.79,4.23,4.15,7.90,8.00,173.70,28.621787,77.092417,8,FIX 3D
2,0.00,1013.25,14.80,9.14,4.23,4.15,5.50,6.90,189.00,28.621739,77.092322,8,FIX 3D
2,0.00,1013.25,14.80,9.14,4.23,4.15,5.50,6.90,189.00,28.621739,77.092322,8,FIX 3D
3,0.00,1013.25,15.30,9.98,4.23,4.14,3.80,6.80,204.10,28.621795,77.092353,8,FIX 3D
3,0.00,1013.25,15.30,9.98,4.23,4.14,3.80,6.80,204.10,28.621795,77.092353,8,FIX 3D
4,0.00,1013.25,14.90,9.36,4.22,4.14,0.40,6.20,219.30,28.621893,77.092355,11,FIX 3D
4,0.00,1013.25,14.90,9.36,4.22,4.14,0.40,6.20,219.30,28.621893,77.092355,11,FIX 3D
5,0.00,1013.25,15.00,8.81,4.22,4.14,-4.60,3.50,234.40,28.621912,77.092403,12,FIX 3D
5,0.00,1013.25,15.00,8.81,4.22,4.14,-4.60,3.50,234.40,28.621912,77.092403,12,FIX 3D
6,0.00,1013.25,15.20,9.74,4.22,4.13,-7.30,0.10,249.50,28.622009,77.092434,9,FIX 3D
6,0.00,1013.25,15.20,9.74,4.22,4.13,-7.30,0.10,249.50,28.622009,77.092434,9,FIX 3D
7,0.00,1013.25,15.00,10.40,4.21,4.13,-8.20,-2.50,264.80,28.622048,77.092438,12,FIX 3D
7,0.00,1013.25,15.00,10.40,4.21,4.13,-8.20,-2.50,264.80,28.622048,77.092438,12,FIX 3D
8,0.00,1013.25,15.20,9.63,4.21,4.12,-10.90,-3.40,280.00,28.622019,77.092484,11,FIX 3D
8,0.00,1013.25,15.20,9.63,4.21,4.12,-10.90,-3.40,280.00,28.622019,77.092484,11,FIX 3D
9,0.00,1013.25,15.20,9.96,4.20,4.12,-9.30,-5.40,295.10,28.622081,77.092443,11,FIX 3D
9,0.00,1013.25,15.20,9.96,4.20,4.12,-9.30,-5.40,295.10,28.622081,77.092443,11,FIX 3D
